,label,text,comments,total_marks,pred_topic,instructor_pred,report_pred,true_topic_idx,true_topic,confidence,sentence_tr_pred
0,Question 1,Which one of the following correctly represents the reaction of glucose in human cells? Type of reaction Endothermic or exothermic A. respiration endothermic B. respiration exothermic C. hydrolysis endothermic D. hydrolysis exothermic,"In human cells, glucose reacts with oxygen in respiration – an energy-releasing, i.e. exothermic, reaction.
C6H12O6(aq) + 6O2(g) à 6CO2(g) + 6H2O(l), ΔH = -2880 kJ",1,Carbon-based fuels,0,0,0,Carbon-based fuels,0.4603733,0
1,Question 2,Which one of the following statements is correct? A. Fuel cells and galvanic cells produce heat. B. Fuel cells have inert electrodes whereas galvanic cells do not. C. Fuel cells have porous electrodes whereas galvanic cells do not. D. Fuel cells and galvanic cells operate when electrons flow through the electrolyte.,"Fuel cells and galvanic cells both produce heat energy as well as electrical energy. 
Galvanic cell electrodes may be active, as in the Zn2+(aq)/Zn(s) half-cell, or inert, as in the Fe3+(aq)/Fe2+(aq) half-cell where a Pt or C(graphite) electrode could be used.
Both fuel cells and galvanic cells can have porous electrodes because this increases the surface area for reaction.
Electrons do not flow through the electrolyte in electrochemical cells; they travel through the external circuit between the anode and the cathode.",1,Primary galvanic cells and fuel cells as sources of energy,2,2,2,Primary galvanic cells and fuel cells as sources of energy,0.9167017,2
2,Question 3,"Molecules X, and all have the same number of carbon atoms. What is the order of melting points, from highest to lowest, for these three molecules? A. Y, X, B. Y, Z, C. Z, X,","The larger the number of C=C double bonds in the molecule the more loosely the chains pack together, the weaker the intermolecular attraction, and the lower the melting point. Therefore, Z has the lowest melting point and Y, with no C=C double bonds, and the strongest intermolecular attraction, has the highest melting point.",1,"Structure, nomenclature and properties of organic compounds",6,6,6,"Structure, nomenclature and properties of organic compounds",0.5209395,6
3,Question 4,cell can be considered secondary cell if A. it has continuous supply of reactants. B. it can operate at different temperatures. C. the polarity of the electrodes remains unchanged. D. it can operate as both galvanic and electrolytic cell.,"The polarity of the physical electrodes does not change. 
The positive electrode remains positive in both galvanic and electrolytic cells. However, the process at that electrode changes – from reduction in a galvanic cell to oxidation in an electrolytic cell – due to the change in the direction of electron flow.
A cell is classified as a secondary cell if it operates as both a galvanic and electrolytic cell. Secondary cells have all reactants contained within the cells.",1,Primary galvanic cells and fuel cells as sources of energy,2,2,5,Production of chemicals using electrolysis,0.7137709,2
4,Question 5,"Consider the following statements about coenzymes. I. Coenzymes assist enzymes to catalyse reaction. II. Coenzymes bind loosely to the active site of an enzyme. III.	 Coenzymes act as carriers in the transfer of electrons and atoms. Which of the statements above are correct? A. and II only B. and III only C. II and III only D. I, II and III","All three statements are properties of coenzymes.
Coenzymes assist enzymes to catalyse a reaction, by binding loosely to the active site of the enzymes and supporting the transfer of electrons and atoms during the reaction.",1,Rates of chemical reactions,3,3,10,Medicinal chemistry,0.51028454,7
5,Question 6,"Consider the following statements. I. HPLC is qualitative process. II. HPLC is quantitative process. III.	 Triplets give information about molecule structure. Which of the above statements apply to high-performance liquid chromatography (HPLC)? A. only B. II only C. and II only D. I, II and III","HPLC is qualitative in that comparing retention times with those of standard samples enables the possible identification of the components of a mixture.
HPLC is quantitative in that relative areas under peaks are used to calculate the percentage of each component in the mixture.
Triplets are associated with 1H NMR spectroscopy.",1,Instrumental analysis of organic compounds,9,9,9,Instrumental analysis of organic compounds,0.23171267,8
6,Question 7,Consider the following statements about fossil fuels and biofuels. I. Production of biofuels does not damage the environment. II. Combustion of both biofuels and fossil fuels generates greenhouse gases. III.	 Biofuels and fossil fuels are both renewable as they are produced from plants. Which of the statements above are correct? A. only B. II only C. and II only D. and III only,"Biofuel production potentially does damage the environment by degrading land used to grow food and through emissions from fuels used in production and transport.
Both biofuel and fossil fuels do generate greenhouse gases – CO2(g) and/or H2O(g).
Biofuels are renewable but fossil fuels, while traceable back to plants, take millions of years to form and are not considered renewable.",1,Carbon-based fuels,0,0,0,Carbon-based fuels,0.76847404,0
7,Question 8,"At 327 °C, the equilibrium constant for the reaction (g) 3H (g) 2NH (g) is 4.10 −2 What is the equilibrium constant at 327 °C for the reaction 2N (g) 6H (g) 4NH (g)? A. 8.20 −2 B. 8.20 −4 C. 16.8 −2 D. 16.8 −4","N2(g) + 3H2(g) ⇋ 2NH3(g)                  K  = 4.10 M−2
The original equation coefficients have been doubled, so the Kvalue is raised to the power of 2 (squared).
2N2(g) + 6H2(g) ⇋ 4NH3(g)                K 	= (4.10 M−2)2
				= 16.8 M−4",1,Extent of chemical reactions,4,4,4,Extent of chemical reactions,0.60421336,4
8,Question 9,"Consider the following statements about coal seam gas and petroleum gas. I. Coal seam gas and petroleum gas are both mixtures. II. Coal seam gas and petroleum gas both combust to produce carbon dioxide. III.	 Coal seam gas and petroleum gas are both fossil fuels. Which of the above statements are correct? A. and II only B. and III only C. II and III only D. I, II and III","The main component of coal seam gas is a mixture of methane – 88 to 98% – with small amounts of other hydrocarbons.
Petroleum gas, associated with crude oil, is also a mixture of lighter hydrocarbons. 
Both coal seam gas and petroleum gas are fossil fuels and produce CO2 on combustion.",1,Carbon-based fuels,0,0,0,Carbon-based fuels,0.65612596,0
9,Question 10,"At constant temperature, which one of the following always corresponds to an increase of the yield of chemical reaction? A. An increase in the value of the equilibrium expression. B. An increase in the concentration of the reactants. C. decrease in the activation energy. D. An increase in the pressure.","A higher value for the equilibrium expression suggests a higher proportion of products / increased product concentration compared to reactants, and hence a higher yield.
An increase in reactant concentration will increase the yield in any equilibrium where the concentration fraction (reaction quotient) increases, as a result of a change that favours the forward reaction. The system moves to compensate for the change by favouring the forward reaction.
However, if the concentration increase occurs by decreasing the volume of an equilibrium mixture in which there are the same number of mol of particles on both sides, as in the equilibrium
          H2(g) + Cl2(g)  ⇋  2HCl(g),
the value of the concentration fraction (reaction quotient) [HCl]2/[H2][Cl2] does not change and there is no change in the yield.
A decrease in activation energy increases the reaction rate and allows the system to get to equilibrium faster but has no effect on the equilibrium yield.
A pressure increase will cause the reaction to favour the side of the equilibrium with the lower number of mol of particles. However, it has no impact on the yield of an equilibrium system with the same number of particles on both sides, as in
	H2(g) + Cl2(g)  ⇋  2HCl(g)",1,Extent of chemical reactions,4,4,4,Extent of chemical reactions,0.72956043,4
