,label,text,comments,total_marks,pred_topic,pred_topic_idx,report_pred,true_topic_idx,true_topic
0,Question 1,"Consider the following statement. ‘If my football team plays badly, then they are not training enough.’ Which one of the following statements is the contrapositive of the statement above? A. If they are not training enough, then my football team plays badly. B. If my football team plays badly, then they need more training. C. If they are training enough, then my football team does not play badly. D. If my football team doesn’t play badly, then they are training enough. E. If they are training enough, then my football team will most likely win.",,1,Discrete mathematics: Logic and proof,0,1,0,Discrete mathematics: Logic and proof
1,Question 2,"The graph of ax bx has asymptotes given by and 1. The values of and are, respectively A. 2, −4, B. C. D. E. 2, −4, −8",,1,"Functions, relations and graphs",1,1,1,"Functions, relations and graphs"
2,Question 3,"In the interval π π the graph of sec( ), where has two -intercepts when A. B. −1 or",,1,"Functions, relations and graphs",1,1,1,"Functions, relations and graphs"
3,Question 4,"If −  1) ai where is non-zero real constant, then is equal to A. cis B. cis C. cis D. cis E. cis",,1,"Algebra, number and structure: Complex numbers",2,1,2,"Algebra, number and structure: Complex numbers"
4,Question 5,Let be complex number where Re( and Im( 0. Given and arg( π then is equivalent to A. B. C. D. E.,,1,"Algebra, number and structure: Complex numbers",2,1,2,"Algebra, number and structure: Complex numbers"
5,Question 6,Consider the following pseudocode. define )= xy 0.5 while ≥0 +1 print end while After how many iterations will the pseudocode print 2.709? A. B. ,,1,Space and measurement: Vectors,6,1,4,Calculus: Differential equations
6,Question 7,"−2 −1 −2 −1 The direction field for differential equation is shown above. On certain solution curve of this differential equation, when −1. The value of on the same solution curve when 1.5 is closest to A. −0.5 B. C. 0.5 D. 1.0 E. 1.5 ",,1,Calculus: Differential equations,4,1,4,Calculus: Differential equations
7,Question 8,"Initially spa pool is filled with 8000 litres of water that contains quantity of dissolved chemical. It is discovered that too much chemical is contained in the spa pool water. To correct this situation, 20 litres of well-mixed spa pool water is pumped out every minute while 15 litres of fresh water is pumped in each minute. Let be the number of kilograms of chemical that remains dissolved in the spa pool after minutes. The differential equation relating to is A. dQ dt 1600 B. dQ dt 400 C. dQ dt 1600 D. dQ dt 1600 E. dQ dt 1600",,1,Calculus: Differential equations,4,1,4,Calculus: Differential equations
8,Question 9,"The position of particle moving in the Cartesian plane, at time is given by the parametric equations and where 0. What is the slope of the tangent to the path of the particle when 2? A. B. C. D. E. ",,1,Space and measurement: Vector calculus,8,1,7,Space and measurement: Vector and Cartesian equations
9,Question 10,"If dx where then for 1, equals A. −1 nI B. nI C. −1 nI D. nI E. nI − 1",Comments on next page.,1,"Functions, relations and graphs",1,1,3,Calculus: Differential calculus and integral calculus
10,Question 11,"The area of the curved surface generated by revolving part of the curve with equation cos −1 from to , 0) about the -axis can be found by evaluating A. cos   dx B. cos   dx C. cos( sin dy D. du where sin( E. du where sin",,1,Calculus: Differential equations,4,1,3,Calculus: Differential calculus and integral calculus
11,Question 12,"The acceleration, −2 of particle that starts from rest and moves in straight line is described by where m s −1 is its velocity after seconds. The velocity of the particle after log 1) seconds is A. B. C. D. log E. log log ",,1,Calculus: Kinematics: rectilinear motion,5,1,5,Calculus: Kinematics: rectilinear motion
12,Question 13,"tourist in hot air balloon, which is rising vertically at 2.5 −1 accidentally drops phone over the side when the phone is 80 metres above the ground. Assuming air resistance is negligible, how long in seconds, correct to two decimal places, does it take for the phone to hit the ground? A. 2.86 B. 2.98 C. 3.79 D. 4.04 E. 4.30",,1,Space and measurement: Vector calculus,8,1,5,Calculus: Kinematics: rectilinear motion
13,Question 14,"Let and If is unit vector such that a.n and b.n 0, then c.n is equal to A. B. C. D. E.",,1,Space and measurement: Vectors,6,1,6,Space and measurement: Vectors
14,Question 15,"If the sum of two unit vectors is unit vector, then the magnitude of the difference of the two vectors is A. B. C. D. E.",Comments on next page.,1,Space and measurement: Vectors,6,1,6,Space and measurement: Vectors
15,Question 16,"student throws ball for his dog to retrieve. The position vector of the ball, relative to an origin at ground level seconds after release, is given by 15 Displacement components are measured in metres, where is unit vector to the east, is unit vector to the north and k is unit vector vertically up. The total vertical distance, in metres, travelled by the ball before it hits the ground is closest to A. 1.5 B. 11.5 C. 13.0 D. 24.5 ","Max. height = 13 m; 2 × 13 = 26 m 
Ball thrown from a height of 1.5 m (), so total vertical distance travelled is 26.0 – 1.5 = 24.5 m",1,Space and measurement: Vector calculus,8,7,8,Space and measurement: Vector calculus
16,Question 17,"Consider the vectors and where If then A. −2, −1, −5 B. −1, 2, −1 C. 1, −2, −5 D. −2, −1, −1 E. 1, −2,",,1,Space and measurement: Vectors,6,1,6,Space and measurement: Vectors
17,Question 18,What value of where will make the following planes perpendicular? ky kx A. B. C. D. E. 10,,1,Space and measurement: Vector and Cartesian equations,7,1,7,Space and measurement: Vector and Cartesian equations
18,Question 19,"company accountant knows that the amount owed on any individual unpaid invoice is normally distributed with mean of $800 and standard deviation of $200. What is the probability, correct to three decimal places, that in random sample of 16 unpaid invoices the total amount owed is more than $13 500? A. 0.087 B. 0.191 C. 0.413 D. 0.587 E. 0.809",,1,"Data analysis, probability and statistics: Distribution of the sample mean",10,1,9,"Data analysis, probability and statistics: Distribution of linear combinations of random variables"
19,Question 20,"The lifespan of certain electronic component is normally distributed with mean of hours and standard deviation of hours. Given that 99% confidence interval, based on random sample of 100 such components, is  500, 15 500), the value of is closest to A. 9710 B. 10 750 C. 12 750 D. 15 190 E. 19 390 ",,1,"Data analysis, probability and statistics: Confidence intervals for the population mean",11,1,11,"Data analysis, probability and statistics: Confidence intervals for the population mean"
